"TAXON","FAMILY","Sample","GENUS","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","DATE","Condition","TAXON_NEW","MANUAL","TAXON_NEW2"
"Mertensia ciliata","Boraginaceae",41,"Mertensia",103286,470206,21.9661169785158,179,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Delphinium nuttallianum","Ranunculaceae",42,"Delphinium",15551,64982,23.9312424979225,165,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Mertensia ciliata","Boraginaceae",43,"Mertensia",47890,116764,41.0143537391662,171,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Hydrophyllum fendleri","Hydrophyllaceae",43,"Hydrophyllum",11728,116764,10.0441917029221,171,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus sericeus","Fabaceae",43,"Lupinus",2043,116764,1.74968312151005,171,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Mertensia ciliata","Boraginaceae",44,"Mertensia",46642,217810,21.4140764886828,181,"A","Mertensia ciliata",FALSE,"Mertensia ciliata"
"Delphinium nuttallianum","Ranunculaceae",44,"Delphinium",33866,217810,15.5484137551077,181,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Lupinus argenteus","Fabaceae",44,"Lupinus",9209,217810,4.22799687801295,181,"A","Lupinus argenteus",FALSE,"Lupinus argenteus"
"Lupinus sericeus","Fabaceae",44,"Lupinus",2421,217810,1.11151921399385,181,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Hydrophyllum fendleri","Hydrophyllaceae",45,"Hydrophyllum",9,96,9.375,163,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Hydrophyllum fendleri","Hydrophyllaceae",46,"Hydrophyllum",8129,866711,0.937913560575555,163,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus sericeus","Fabaceae",46,"Lupinus",2749,866711,0.317176082915759,163,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Delphinium barbeyi","Ranunculaceae",49,"Delphinium",29330,51672,56.7618826443722,190,"A","Delphinium barbeyi",FALSE,"Delphinium barbeyi"
"Vicia americana","Fabaceae",49,"Vicia",419,51672,0.810884037776746,190,"A","Vicia americana",FALSE,"Vicia americana"
"Delphinium nuttallianum","Ranunculaceae",51,"Delphinium",11957,51753,23.1039746488126,166,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Dasiphora fruticosa","Rosaceae",51,"Dasiphora",282,51753,0.544895948060982,166,"A","Dasiphora fruticosa",FALSE,"Dasiphora fruticosa"
"Lupinus sericeus","Fabaceae",52,"Lupinus",29229,134754,21.6906362705374,163,"A","Lupinus sericeus",FALSE,"Lupinus sericeus"
"Delphinium nuttallianum","Ranunculaceae",52,"Delphinium",2630,134754,1.95170458761892,163,"A","Delphinium nuttallianum",FALSE,"Delphinium nuttallianum"
"Hydrophyllum fendleri","Hydrophyllaceae",54,"Hydrophyllum",7316,47385,15.4394850691147,190,"A","Hydrophyllum fendleri",FALSE,"Hydrophyllum fendleri"
"Lupinus argenteus","Fabaceae",54,"Lupinus",2614,47385,5.51651366466181,190,"A","Lupinus argenteus",FALSE,"Lupinus argenteus"
